ID,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,negGeProDr_label,firstLine,acceleratedApproval,metastatic
240,*,Encorafenib,Colorectal cancer,BRAFTOVI- encorafenib capsule,"70255-025-01, 70255-025-02, 70255-025-03, 70255-025-04, 70255-025-05, 70255-025-06",,,,
241,*,Enfortumab Vedotin-ejfv,Urothelial cancer,"PADCEV EJFV- enfortumab vedotin injection, powder, lyophilized, for solution","51144-020-01, 51144-030-01",,,,
242,*,Entrectinib,Non-small cell lung cancer,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90, 50242-623-01, 50242-623-42",,,,
243,*,Entrectinib,Solid tumors,ROZLYTREK- entrectinib capsule,"50242-091-30, 50242-091-86, 50242-094-47, 50242-094-90, 50242-623-01, 50242-623-42",,,,
244,*,Enzalutamide,Prostate cancer,XTANDI- enzalutamide capsule,"0469-0125-99, 0469-0625-99, 0469-0725-60, 0469-1125-56, 0469-1725-56",,,,
245,*,Epcoritamab-bysp,high-grade B-cell lymphoma,"EPKINLY- epcoritamab-bysp injection, solution","82705-002-01, 82705-010-01",,,,
246,*,Epcoritamab-bysp,Diffuse large B-cell lymphoma,"EPKINLY- epcoritamab-bysp injection, solution","82705-002-01, 82705-010-01",,,,
247,FL,Epcoritamab-bysp,Follicular lymphoma,"EPKINLY- epcoritamab-bysp injection, solution","82705-002-01, 82705-010-01",,,,
248,*,Epirubicin Hydrochloride,Breast cancer,,,,,,
249,*,Epoetin Alfa,Anemia,EPOGEN- epoetin alfa solution,"55513-126-01, 55513-126-10, 55513-126-20, 55513-144-01, 55513-144-10, 55513-144-20, 55513-148-01, 55513-148-10, 55513-148-20, 55513-267-01, 55513-267-10, 55513-267-20, 55513-283-01, 55513-283-10, 55513-283-20, 55513-478-01, 55513-478-10, 55513-478-20",,,,
250,*,Erdafitinib,Urothelial carcinoma,"BALVERSA- erdafitinib tablet, film coated","59676-030-56, 59676-030-84, 59676-040-28, 59676-040-56, 59676-050-28",,,,
251,*,Eribulin Mesylate,Liposarcoma,HALAVEN- eribulin mesylate injection,62856-389-01,,,,
252,*,Eribulin Mesylate,Breast cancer,HALAVEN- eribulin mesylate injection,62856-389-01,,,,
253,*,Erlotinib Hydrochloride,Non-small cell lung cancer,,,,,,
254,*,Erlotinib Hydrochloride,Pancreatic cancer,,,,,,
255,*,Etoposide,Small cell lung cancer,,,,,,
256,*,Etoposide,Testicular cancer,,,,,,
257,*,Etoposide Phosphate,Small cell lung cancer,,,,,,
258,*,Etoposide Phosphate,Testicular cancer,,,,,,
259,*,Everolimus,Renal cell carcinoma,,,,,,
260,*,Everolimus,Breast cancer,,,,,,
261,*,Everolimus,Neuroendocrine tumors,,,,,,
262,*,Everolimus,Pancreatic neuroendocrine tumors,,,,,,
263,*,Everolimus,Subependymal giant cell astrocytoma,,,,,,
264,*,Exemestane,breast cancer,,,,,,
265,*,Fam-Trastuzumab Deruxtecan-nxki,gastroesophageal junction cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",65597-406-01,,,,
266,*,Fam-Trastuzumab Deruxtecan-nxki,Gastric (stomach) cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",65597-406-01,,,,
267,ISH+,Fam-Trastuzumab Deruxtecan-nxki,Breast cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",65597-406-01,,Yes,,Yes
268,*,Fam-Trastuzumab Deruxtecan-nxki,Solid tumors,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",65597-406-01,,,Yes,Yes
269,"ERBB2, HER2",Fam-Trastuzumab Deruxtecan-nxki,Non-small cell lung cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",65597-406-01,,,Yes,Yes
270,*,Fedratinib Hydrochloride,Myelofibrosis,INREBIC- fedratinib hydrochloride capsule,59572-720-12,,,,
271,*,Filgrastim,Neutropenia,,,,,,
272,*,Fludarabine Phosphate,B-cell  chronic lymphocytic leukemia (CLL,,,,,,
273,*,Fluorouracil Injection ,Pancreatic cancer,"FLUOROURACIL injection, solution","16729-276-03, 16729-276-05, 16729-276-67, 16729-276-68",,,,
274,*,Fluorouracil Injection ,Colorectal cancer,"FLUOROURACIL injection, solution","16729-276-03, 16729-276-05, 16729-276-67, 16729-276-68",,,,
275,*,Fluorouracil Injection ,Breast cancer,"FLUOROURACIL injection, solution","16729-276-03, 16729-276-05, 16729-276-67, 16729-276-68",,,,
276,*,Fluorouracil Injection ,Gastric (stomach) cancer,"FLUOROURACIL injection, solution","16729-276-03, 16729-276-05, 16729-276-67, 16729-276-68",,,,
277,*,Fluorouracil (Topical),Actinic keratosis,,,,,,
278,*,Flutamide,Prostate cancer,,,,,,
279,*,Fostamatinib Disodium,Thrombocytopenia,TAVALISSE- fostamatinib tablet,"71332-001-01, 71332-002-01",,,,
280,*,Fruquintinib,Colorectal cancer,FRUZAQLA- fruquintinib capsule,"63020-210-21, 63020-225-21",,,,
281,*,Fulvestrant,Breast cancer,FASLODEX- fulvestrant injection,0310-0720-10,,,,
282,*,Gefitinib,Non-small cell lung cancer,"IRESSA- gefitinib tablet, coated","0310-0482-30, 0310-0482-93",,,,
283,*,Gemcitabine Hydrochloride,Non-small cell lung cancer,,,,,,
284,*,Gemcitabine Hydrochloride,Pancreatic cancer,,,,,,
285,*,Gemcitabine Hydrochloride,Breast cancer,,,,,,
286,*,Gemcitabine Hydrochloride,Ovarian cancer,,,,,,
287,"FMS-like tyrosine kinase 3, FLT3",Gilteritinib Fumarate,Acute myeloid leukemia,XOSPATA- gilteritinib tablet,"0469-1425-21, 0469-1425-90",,,,
288,*,Glasdegib Maleate,Acute myeloid leukemia,"DAURISMO- glasdegib tablet, film coated","0069-0298-60, 0069-1531-30",,,,
289,*,Glofitamab-gxbm,B-cell non-Hodgkin lymphoma,COLUMVI- glofitamab concentrate,"50242-125-01, 50242-127-01",,,,
290,*,Glucarpidase,Toxic blood levels of the anticancer drug methotrexate,"VORAXAZE- glucarpidase injection, powder, for solution",50633-210-11,,,,
291,*,Goserelin Acetate,Prostate cancer,,,,,,
292,*,Goserelin Acetate,Breast cancer,,,,,,
293,*,Granisetron,Nausea and vomiting,SUSTOL- granisetron injection,"47426-101-01, 47426-101-06",,,,
294,*,Granisetron Hydrochloride,Nausea and vomiting,,,,,,
295,*,Hydroxyurea,Squamous cell carcinoma of the head and neck,,,,,,
296,*,Hydroxyurea,Chronic myelogenous leukemia,,,,,,
297,*,Ibritumomab Tiuxetan,B-cell follicular non-Hodgkin lymphoma,,,,,,
298,*,Ibrutinib,Chronic lymphocytic leukemia,IMBRUVICA- ibrutinib capsule,"57962-007-12, 57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71",,,,
299,*,Ibrutinib,small lymphocytic lymphoma,IMBRUVICA- ibrutinib capsule,"57962-007-12, 57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71",,,,
300,*,Ibrutinib,Waldenström macroglobulinemia,IMBRUVICA- ibrutinib capsule,"57962-007-12, 57962-014-28, 57962-070-28, 57962-140-09, 57962-140-12, 57962-280-28, 57962-420-28, 57962-420-71",,,,
301,*,Idarubicin Hydrochloride,Acute myeloid leukemia,,,,,,
302,*,Idecabtagene Vicleucel,multiple myeloma,ABECMA- idecabtagene vicleucel suspension,"59572-515-01, 59572-515-02, 59572-515-03",,,,
303,*,Idelalisib,Chronic lymphocytic leukemia,"ZYDELIG- idelalisib tablet, film coated","61958-1701-1, 61958-1702-1",,,,
304,*,Ifosfamide,Testicular germ cell tumors,"IFEX- ifosfamide injection, powder, for solution","0338-3991-01, 0338-3993-01",,,,
305,Philadelphia,Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,
306,*,Imatinib Mesylate,Myelodysplastic/myeloproliferative neoplasms,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,
307,c-Kit,Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,
308,"FIP1L1-PDGFRα, FIP1L1-PDGFRα fusion kinase, HES, CHIC2",Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,
309,*,Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,Yes
310,*,Imatinib Mesylate,Chronic myelogenous leukemia,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,
311,CD117,Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,Yes
312,"FIP1L1-PDGFRα, FIP1L1-PDGFRα fusion kinase, HES, CHIC2",Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"0078-0401-34, 0078-0649-13, 0078-0649-26, 0078-0649-30, 0078-1490-13, 0078-1490-26",,,,
313,*,Imetelstat Sodium,Myelodysplastic syndrome,"RYTELO- imetelstat sodium injection, powder, lyophilized, for solution","82959-111-01, 82959-112-01",,,,
314,*,Imiquimod,Genital warts or perianal warts,,,,,,
315,*,Imiquimod,Actinic keratosis,,,,,,
316,*,Imiquimod,Basal cell carcinoma,,,,,,
317,*,Inavolisib,breast cancer,"ITOVEBI- inavolisib tablet, film coated","50242-079-08, 50242-079-86, 50242-084-08",,,,
318,*,Inotuzumab Ozogamicin,B-cell acute lymphoblastic leukemia,"BESPONSA- inotuzumab ozogamicin injection, powder, lyophilized, for solution",0008-0100-01,,,,
319,*,Iobenguane I 131,Pheochromocytoma,,,,,,
320,*,Iobenguane I 131,paraganglioma,,,,,,
321,*,Ipilimumab,malignant pleural mesothelioma,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,Yes,,
322,PD-L1,Ipilimumab,esophageal cancer,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,Yes,,Yes
323,*,Ipilimumab,hepatocellular carcinoma,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,Yes,,Yes
324,*,Ipilimumab,melanoma,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,,,Yes
325,"PD-L1, EGFR, ALK",Ipilimumab,non-small cell lung cancer,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,Yes,,Yes
326,*,Ipilimumab,renal cell carcinoma,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,Yes,,Yes
327,*,Ipilimumab,colorectal cancer,YERVOY- ipilimumab injection,"0003-2327-11, 0003-2328-22",,,,Yes
328,*,Irinotecan Sucrosofate,Pancreatic cancer,"ONIVYDE- irinotecan hydrochloride injection, powder, for solution",15054-0043-1,,,,
329,*,Irinotecan Hydrochloride,Colorectal cancer,,,,,,
330,*,Isatuximab-irfc,multiple myeloma,"SARCLISA- isatuximab injection, solution, concentrate","0024-0654-01, 0024-0656-01",,,,
331,*,Ivosidenib,Myelodysplastic syndrome,,,,,,
332,*,Ivosidenib,Acute myeloid leukemia,,,,,,
333,*,Ivosidenib,Cholangiocarcinoma,,,,,,
334,*,Ixabepilone,Breast cancer,IXEMPRA- ixabepilone kit,"70020-1910-1, 70020-1911-1",,,,
335,*,Ixazomib Citrate,Multiple myeloma,,,,,,
336,*,Lanreotide Acetate,Gastroenteropancreatic neuroendocrine tumors,,,,,,
337,*,Lanreotide Acetate,Carcinoid syndrome,,,,,,
338,*,Lapatinib Ditosylate,Breast cancer,TYKERB- lapatinib tablet,0078-0671-19,,,,
339,*,Lazertinib Mesylate Hydrate,non-small cell lung cancer,"LAZCLUZE- lazertinib tablet, film coated","57894-080-60, 57894-080-90, 57894-240-30, 57894-240-99",,,,
340,*,Lenalidomide,Multiple myeloma,REVLIMID- lenalidomide capsule,"59572-402-00, 59572-402-28, 59572-405-00, 59572-405-28, 59572-410-00, 59572-410-28, 59572-415-00, 59572-415-21, 59572-420-00, 59572-420-21, 59572-425-00, 59572-425-21",,,,
341,*,Lenalidomide,Anemia,REVLIMID- lenalidomide capsule,"59572-402-00, 59572-402-28, 59572-405-00, 59572-405-28, 59572-410-00, 59572-410-28, 59572-415-00, 59572-415-21, 59572-420-00, 59572-420-21, 59572-425-00, 59572-425-21",,,,
342,*,Lenalidomide,Mantle cell lymphoma,REVLIMID- lenalidomide capsule,"59572-402-00, 59572-402-28, 59572-405-00, 59572-405-28, 59572-410-00, 59572-410-28, 59572-415-00, 59572-415-21, 59572-420-00, 59572-420-21, 59572-425-00, 59572-425-21",,,,
343,*,Lenalidomide,Marginal zone lymphoma,REVLIMID- lenalidomide capsule,"59572-402-00, 59572-402-28, 59572-405-00, 59572-405-28, 59572-410-00, 59572-410-28, 59572-415-00, 59572-415-21, 59572-420-00, 59572-420-21, 59572-425-00, 59572-425-21",,,,
344,*,Lenalidomide,Follicular lymphoma,REVLIMID- lenalidomide capsule,"59572-402-00, 59572-402-28, 59572-405-00, 59572-405-28, 59572-410-00, 59572-410-28, 59572-415-00, 59572-415-21, 59572-420-00, 59572-420-21, 59572-425-00, 59572-425-21",,,,
345,*,Lenvatinib Mesylate,Endometrial carcinoma,LENVIMA- lenvatinib capsule,"62856-704-05, 62856-704-30, 62856-708-05, 62856-708-30, 62856-710-05, 62856-710-30, 62856-712-05, 62856-712-30, 62856-714-05, 62856-714-30, 62856-718-05, 62856-718-30, 62856-720-05, 62856-720-30, 62856-724-05, 62856-724-30",,,,
346,*,Lenvatinib Mesylate,Thyroid cancer,LENVIMA- lenvatinib capsule,"62856-704-05, 62856-704-30, 62856-708-05, 62856-708-30, 62856-710-05, 62856-710-30, 62856-712-05, 62856-712-30, 62856-714-05, 62856-714-30, 62856-718-05, 62856-718-30, 62856-720-05, 62856-720-30, 62856-724-05, 62856-724-30",,,,
347,*,Lenvatinib Mesylate,Renal cell carcinoma,LENVIMA- lenvatinib capsule,"62856-704-05, 62856-704-30, 62856-708-05, 62856-708-30, 62856-710-05, 62856-710-30, 62856-712-05, 62856-712-30, 62856-714-05, 62856-714-30, 62856-718-05, 62856-718-30, 62856-720-05, 62856-720-30, 62856-724-05, 62856-724-30",,,,
348,*,Lenvatinib Mesylate,Hepatocellular carcinoma,LENVIMA- lenvatinib capsule,"62856-704-05, 62856-704-30, 62856-708-05, 62856-708-30, 62856-710-05, 62856-710-30, 62856-712-05, 62856-712-30, 62856-714-05, 62856-714-30, 62856-718-05, 62856-718-30, 62856-720-05, 62856-720-30, 62856-724-05, 62856-724-30",,,,
349,*,Letrozole,breast cancer,,,,,,
350,*,Leucovorin Calcium,Colorectal cancer,,,,,,
351,*,Leucovorin Calcium,Anemia,,,,,,
352,*,Leuprolide Acetate,prostate cancer,,,,,,
353,*,Lifileucel,Melanoma,AMTAGVI- lifileucel suspension,"73776-001-11, 73776-001-12",,,,
354,"Bruton tyrosine kinase, BTK, BREYANZI",Lisocabtagene Maraleucel,mantle cell lymphoma,BREYANZI- lisocabtagene maraleucel kit,"73153-900-01, 73153-901-08, 73153-902-04",,,,
355,*,Lisocabtagene Maraleucel,B-cell non-Hodgkin lymphoma,BREYANZI- lisocabtagene maraleucel kit,"73153-900-01, 73153-901-08, 73153-902-04",,,,
356,*,Lisocabtagene Maraleucel,chronic lymphocytic leukemia or small lymphocytic lymphoma,BREYANZI- lisocabtagene maraleucel kit,"73153-900-01, 73153-901-08, 73153-902-04",,,,
357,BREYANZI,Lisocabtagene Maraleucel,follicular lymphoma,BREYANZI- lisocabtagene maraleucel kit,"73153-900-01, 73153-901-08, 73153-902-04",,,,
358,*,Lomustine,Brain tumors,,,,,,
359,*,Lomustine,Hodgkin lymphoma,,,,,,
360,*,Loncastuximab Tesirine-lpyl,B-cell non-Hodgkin lymphoma,"ZYNLONTA- loncastuximab tesirine injection, powder, lyophilized, for solution",79952-110-01,,,,
361,*,Lorlatinib,Non-small cell lung cancer,"LORBRENA- lorlatinib tablet, film coated","0069-0227-01, 0069-0227-03, 0069-0231-01",,,,
362,*,Lurbinectedin,Small cell lung cancer,"ZEPZELCA- lurbinectedin injection, powder, lyophilized, for solution",68727-712-01,,,Yes,Yes
363,*,Luspatercept-aamt,Anemia,"REBLOZYL- luspatercept injection, powder, lyophilized, for solution","59572-711-01, 59572-775-01",,,,
364,*,Lutetium Lu 177 Vipivotide Tetraxetan,Prostate cancer,,,,,,
365,*,Lutetium Lu 177-Dotatate,Gastroenteropancreatic neuroendocrine tumors,LUTATHERA- lutetium lu 177 dotatate injection,69488-003-01,,,,
366,*,Margetuximab-cmkb,breast cancer,"MARGENZA- margetuximab-cmkb injection, solution, concentrate","74527-022-01, 74527-022-02, 74527-022-03",,,,
367,*,Mechlorethamine Hydrochloride,Mycosis fungoides,,,,,,
368,*,Megestrol Acetate,"
breastcancer
",,,,,,
369,*,Megestrol Acetate,"
endometrialcancer
",,,,,,
370,*,Melphalan,Multiple myeloma,,,,,,
371,*,Melphalan,Ovarian epithelial cancer,,,,,,
372,*,Melphalan Hydrochloride,Uveal melanoma,,,,,,
373,*,Melphalan Hydrochloride,Multiple myeloma,,,,,,
374,*,Mercaptopurine,Acute lymphoblastic leukemia,,,,,,
375,*,Mesna,Hemorrhagic cystitis,,,,,,
376,*,Methotrexate Sodium (Cancer Treatment),Gestational trophoblastic disease,,,,,,
377,*,Methotrexate Sodium (Cancer Treatment),Lung cancer,,,,,,
378,*,Methotrexate Sodium (Cancer Treatment),Breast cancer,,,,,,
379,*,Methotrexate Sodium (Cancer Treatment),Acute lymphoblastic leukemia (ALL,,,,,,
380,*,Methotrexate Sodium (Cancer Treatment),Non-Hodgkin lymphoma,,,,,,
381,*,Methotrexate Sodium (Cancer Treatment),Mycosis fungoides,,,,,,
382,*,Methotrexate Sodium (Cancer Treatment),Head and neck cancer,,,,,,
383,*,Methotrexate Sodium (Cancer Treatment),Osteosarcoma,,,,,,
384,*,Methylnaltrexone Bromide,Constipation,RELISTOR- methylnaltrexone bromide tablet,"65649-150-06, 65649-150-60, 65649-150-90, 65649-551-02, 65649-551-03, 65649-551-07, 65649-552-04",,,,Yes
385,*,Midostaurin,systemic mastocytosis with associated hematologic neoplasm,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,
386,FLT3,Midostaurin,Acute myeloid leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,
387,*,Midostaurin,Aggressive systemic mastocytosis,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,
388,*,Midostaurin,mast cell leukemia,"RYDAPT capsule, liquid filled","0078-0698-02, 0078-0698-19, 0078-0698-51, 0078-0698-99",,,,
389,*,Mirvetuximab Soravtansine-gynx,"Ovarian epithelial, fallopian tube, or primary peritoneal cancer","ELAHERE- mirvetuximab soravtansine injection, solution",72903-853-01,,,,
390,*,Mitomycin,Gastric (stomach) and pancreatic adenocarcinoma,,,,,,
391,*,Mitomycin,Urothelial cancer,,,,,,
392,*,Mitoxantrone Hydrochloride,Prostate cancer,,,,,,
393,*,Mitoxantrone Hydrochloride,Acute non-lymphocytic leukemia,,,,,,
394,*,Mogamulizumab-kpkc,Mycosis fungoides,POTELIGEO- mogamulizumab-kpkc injection,42747-761-01,,,,
395,*,Mogamulizumab-kpkc,Sezary syndrome,POTELIGEO- mogamulizumab-kpkc injection,42747-761-01,,,,
396,*,Momelotinib Dihydrochloride Monohydrate,Myelofibrosis,OJJAARA- momelotinib tablet,"81864-101-30, 81864-102-30, 81864-103-30",,,,
397,*,Mosunetuzumab-axgb,follicular lymphoma,LUNSUMIO- mosunetuzumab concentrate,"50242-142-01, 50242-159-01",,,Yes,
398,ABRAXANE,Paclitaxel Albumin-stabilized Nanoparticle Formulation,Non-small cell lung cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",68817-134-50,,Yes,,Yes
399,*,Paclitaxel Albumin-stabilized Nanoparticle Formulation,Pancreatic cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",68817-134-50,,,,
400,ABRAXANE,Paclitaxel Albumin-stabilized Nanoparticle Formulation,Breast cancer,"ABRAXANE- paclitaxel injection, powder, lyophilized, for suspension",68817-134-50,,,,Yes
401,*,Naxitamab-gqgk,Neuroblastoma,DANYELZA- naxitamab injection,73042-201-01,,,,
402,*,Necitumumab,Squamous non-small cell lung cancer,PORTRAZZA- necitumumab solution,0002-7716-01,,,,
403,*,Nelarabine,T-cell acute lymphoblastic leukemia,,,,,,
404,*,Nelarabine,T-cell lymphoblastic lymphoma,,,,,,
405,*,Neratinib Maleate,Breast cancer,NERLYNX- neratinib tablet,"70437-240-18, 70437-240-26, 70437-240-33",,,,Yes
406,*,Netupitant and Palonosetron Hydrochloride,Nausea,AKYNZEO- netupitant and palonosetron capsule,"69639-101-01, 69639-101-04, 69639-102-01, 69639-105-01, 69639-106-01",,,,
407,*,Netupitant and Palonosetron Hydrochloride,vomiting,AKYNZEO- netupitant and palonosetron capsule,"69639-101-01, 69639-101-04, 69639-102-01, 69639-105-01, 69639-106-01",,,,
408,*,Nilotinib,Chronic myelogenous leukemia,TASIGNA- nilotinib capsule,"0078-0526-51, 0078-0526-87, 0078-0592-51, 0078-0592-87, 0078-0951-66",,,,
409,*,Nilutamide,Prostate cancer,NILUTAMIDE tablet,62559-173-31,,,,
410,*,Niraparib Tosylate Monohydrate and Abiraterone Acetate,Prostate cancer,"AKEEGA- niraparib tosylate monohydrate and abiraterone acetate tablet, film coated","57894-050-60, 57894-100-60",,,,
411,*,Niraparib Tosylate Monohydrate,Ovarian epithelial,,,,,,
412,*,Niraparib Tosylate Monohydrate,primary peritoneal cancer,,,,,,
413,*,Niraparib Tosylate Monohydrate,fallopian tube,,,,,,
414,*,Nirogacestat Hydrobromide,Desmoid tumors,"OGSIVEO- nirogacestat tablet, film coated","82448-100-14, 82448-150-14",,,,
415,OPDIVO,Nivolumab,squamous cell carcinoma of the head and neck,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,Yes
416,*,Nivolumab,gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,
417,OPDIVO,Nivolumab,urothelial carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,Yes,,Yes
418,OPDIVO,Nivolumab,malignant pleural mesothelioma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,Yes,,
419,"PD-L1, OPDIVO",Nivolumab,esophageal cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,Yes,,Yes
420,OPDIVO,Nivolumab,hepatocellular carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,Yes,,Yes
421,OPDIVO,Nivolumab,melanoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,Yes
422,*,Nivolumab,esophageal cancer or gastroesophageal junction adenocarcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,
423,"EGFR, PD-L1, OPDIVO, ALK, epidermal growth factor receptor",Nivolumab,non-small cell lung cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,Yes,,Yes
424,OPDIVO,Nivolumab,renal cell carcinoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,Yes,,Yes
425,*,Nivolumab,classic Hodgkin lymphoma,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,
426,*,Nivolumab,gastric (stomach) cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,
427,OPDIVO,Nivolumab,colorectal cancer,OPDIVO- nivolumab injection,"0003-3734-13, 0003-3756-14, 0003-3772-11, 0003-3774-12",,,,Yes
428,*,Nivolumab and Hyaluronidase-nvhy,squamous cell carcinoma of the head and neck,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,Yes
429,PD-L1,Nivolumab and Hyaluronidase-nvhy,esophageal adenocarcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,Yes
430,*,Nivolumab and Hyaluronidase-nvhy,urothelial carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,Yes,,Yes
431,PD-L1,Nivolumab and Hyaluronidase-nvhy,gastroesophageal junction cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,Yes
432,PD-L1,Nivolumab and Hyaluronidase-nvhy,esophageal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,Yes,,Yes
433,*,Nivolumab and Hyaluronidase-nvhy,hepatocellular carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,Yes,,Yes
434,*,Nivolumab and Hyaluronidase-nvhy,melanoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,Yes
435,"EGFR, ALK, epidermal growth factor receptor",Nivolumab and Hyaluronidase-nvhy,non-small cell lung cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,Yes
436,*,Nivolumab and Hyaluronidase-nvhy,renal cell carcinoma,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,Yes,,Yes
437,*,Nivolumab and Hyaluronidase-nvhy,gastric (stomach) cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,
438,*,Nivolumab and Hyaluronidase-nvhy,colorectal cancer,"OPDIVO QVANTIG- nivolumab and hyaluronidase-nvhy injection, solution","0003-3120-01, 0003-6120-01",,,,Yes
439,*,Nivolumab and Relatlimab-rmbw,Melanoma,OPDUALAG- nivolumab and relatlimab-rmbw injection,0003-7125-11,,,,
440,*,Nogapendekin Alfa Inbakicept-pmln,Non-muscle–invasive bladder cancer,ANKTIVA- nogapendekin alfa inbakicept-pmln solution,81481-803-01,,,,
441,*,Obecabtagene Autoleucel,B-cell acute lymphoblastic leukemia,AUCATZYL- obecabtagene autoleucel kit,"83047-010-10, 83047-100-10, 83047-100-30, 83047-300-30, 83047-410-04",,,,
