therapy_label,disease_label,drug_label,geneProtein_label,metastatic,firstLine,acceleratedApproval,negGeProDr_label
Acalabrutinib Maleate Monohydrate,Chronic lymphocytic leukemia,"CALQUENCE- acalabrutinib capsule, gelatin coated",*,,,,
Acalabrutinib Maleate Monohydrate,Mantle cell lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated",*,,Yes,,
Acalabrutinib Maleate Monohydrate,small lymphocytic lymphoma,"CALQUENCE- acalabrutinib capsule, gelatin coated",*,,,,
Carfilzomib,Multiple myeloma,"KYPROLIS- carfilzomib injection, powder, lyophilized, for solution",*,,,,
Cemiplimab-rwlc,Basal cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,"hedgehog, LIBTAYO",Yes,,,
Cemiplimab-rwlc,Cutaneous squamous cell carcinoma,LIBTAYO- cemiplimab-rwlc injection,LIBTAYO,Yes,,,
Cemiplimab-rwlc,Non-small cell lung cancer,LIBTAYO- cemiplimab-rwlc injection,"PD-L1, EGFR, ALK, LIBTAYO, ROS1",Yes,Yes,,
Cetuximab,Colorectal cancer,ERBITUX- cetuximab solution,"Ras, K-Ras, epidermal growth factor receptor",Yes,Yes,,
Cetuximab,Squamous cell carcinoma of the head and neck,ERBITUX- cetuximab solution,*,Yes,Yes,,
Cobimetinib Fumarate,Melanoma,"COTELLIC- cobimetinib tablet, film coated",BRAF,Yes,,,
Duvelisib,Chronic lymphocytic leukemia,COPIKTRA- duvelisib capsule,*,,,,
Duvelisib,small lymphocytic lymphoma,COPIKTRA- duvelisib capsule,*,,,,
Cobimetinib Fumarate,Melanoma,"COTELLIC- cobimetinib tablet, film coated",BRAF,Yes,,,
Crizotinib,Anaplastic large cell lymphoma,XALKORI- crizotinib capsule,XALKORI,,,,
Crizotinib,Non-small cell lung cancer,XALKORI- crizotinib capsule,"ALK, XALKORI",Yes,,,
Crizotinib,Inflammatory myofibroblastic tumor,XALKORI- crizotinib capsule,XALKORI,Yes,,,
Ramucirumab,Hepatocellular carcinoma,CYRAMZA- ramucirumab solution,AFP,,,,
Ramucirumab,Non-small cell lung cancer,CYRAMZA- ramucirumab solution,"EGFR, ALK, epidermal growth factor receptor",Yes,Yes,,
Ramucirumab,Colorectal cancer,CYRAMZA- ramucirumab solution,*,Yes,,,
Dabrafenib Mesylate,Anaplastic thyroid cancer,TAFINLAR- dabrafenib capsule,BRAF,Yes,,,
Dabrafenib Mesylate,Solid tumors,TAFINLAR- dabrafenib capsule,BRAF,Yes,,Yes,
Dabrafenib Mesylate,Melanoma,TAFINLAR- dabrafenib capsule,BRAF,Yes,,,
Dabrafenib Mesylate,Glioma,TAFINLAR- dabrafenib capsule,BRAF,,,,
Daratumumab and Hyaluronidase-fihj,multiple myeloma,DARZALEX FASPRO (daratumumab and hyaluronidase-fihj- human recombinant injection,*,,,,
Darbepoetin Alfa,Anemia,"ARANESP- darbepoetin alfa injection, solution",*,,,,
Daratumumab and Hyaluronidase-fihj,multiple myeloma,DARZALEX FASPRO (daratumumab and hyaluronidase-fihj- human recombinant injection,*,,,,
Datopotamab Deruxtecan-dlnk,Breast cancer,"DATROWAY- datopotamab deruxtecan injection, powder, lyophilized, for solution",*,Yes,,,
Datopotamab Deruxtecan-dlnk,Non-small cell lung cancer,"DATROWAY- datopotamab deruxtecan injection, powder, lyophilized, for solution",epidermal growth factor receptor,Yes,,Yes,
Datopotamab Deruxtecan-dlnk,Breast cancer,"DATROWAY- datopotamab deruxtecan injection, powder, lyophilized, for solution",*,Yes,,,
Datopotamab Deruxtecan-dlnk,Non-small cell lung cancer,"DATROWAY- datopotamab deruxtecan injection, powder, lyophilized, for solution",epidermal growth factor receptor,Yes,,Yes,
Dostarlimab-gxly,endometrial cancer,JEMPERLI- dostarlimab injection,*,Yes,,,
Dostarlimab-gxly,solid tumors,JEMPERLI- dostarlimab injection,*,Yes,,Yes,
Durvalumab,hepatocellular carcinoma,"IMFINZI- durvalumab injection, solution",IMFINZI,,,,
Durvalumab,bladder cancer,"IMFINZI- durvalumab injection, solution",IMFINZI,,,,
Durvalumab,non-small cell lung cancer,"IMFINZI- durvalumab injection, solution","EGFR, ALK, epidermal growth factor receptor, IMFINZI",Yes,,,
Durvalumab,endometrial cancer,"IMFINZI- durvalumab injection, solution",IMFINZI,Yes,,,
Durvalumab,biliary tract cancer,"IMFINZI- durvalumab injection, solution",IMFINZI,Yes,,,
Durvalumab,small cell lung cancer,"IMFINZI- durvalumab injection, solution","EGFR, ALK, epidermal growth factor receptor, IMFINZI",Yes,Yes,,
Duvelisib,Chronic lymphocytic leukemia,COPIKTRA- duvelisib capsule,*,,,,
Duvelisib,small lymphocytic lymphoma,COPIKTRA- duvelisib capsule,*,,,,
Enasidenib Mesylate,Acute myeloid leukemia,"IDHIFA- enasidenib mesylate tablet, film coated","isocitrate dehydrogenase-2, IDH2",,,,
Fam-Trastuzumab Deruxtecan-nxki,Solid tumors,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",*,Yes,,Yes,
Fam-Trastuzumab Deruxtecan-nxki,Non-small cell lung cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution","ERBB2, HER2",Yes,,Yes,
Fam-Trastuzumab Deruxtecan-nxki,Breast cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",ISH+,Yes,Yes,,
Epcoritamab-bysp,Follicular lymphoma,"EPKINLY- epcoritamab-bysp injection, solution",FL,,,,
Epcoritamab-bysp,Follicular lymphoma,"EPKINLY- epcoritamab-bysp injection, solution",FL,,,,
Epoetin Alfa,Anemia,EPOGEN- epoetin alfa solution,*,,,,
Epoetin Alfa,Anemia,EPOGEN- epoetin alfa solution,*,,,,
Cetuximab,Colorectal cancer,ERBITUX- cetuximab solution,"Ras, K-Ras, epidermal growth factor receptor",Yes,Yes,,
Cetuximab,Squamous cell carcinoma of the head and neck,ERBITUX- cetuximab solution,*,Yes,Yes,,
Amifostine,Xerostomia,ETHYOL- amifostine injection,*,,,,
Fam-Trastuzumab Deruxtecan-nxki,Solid tumors,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",*,Yes,,Yes,
Fam-Trastuzumab Deruxtecan-nxki,Non-small cell lung cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution","ERBB2, HER2",Yes,,Yes,
Fam-Trastuzumab Deruxtecan-nxki,Breast cancer,"ENHERTU- fam-trastuzumab deruxtecan-nxki injection, powder, lyophilized, for solution",ISH+,Yes,Yes,,
Obinutuzumab,Chronic lymphocytic leukemia,"GAZYVA- obinutuzumab injection, solution, concentrate",*,,Yes,,
Obinutuzumab,Follicular lymphoma,"GAZYVA- obinutuzumab injection, solution, concentrate",*,,Yes,,
Afatinib Dimaleate,Non-small cell lung cancer,"GILOTRIF- afatinib tablet, film coated","EGFR, epidermal growth factor receptor",Yes,Yes,,
Gilteritinib Fumarate,Acute myeloid leukemia,XOSPATA- gilteritinib tablet,"FMS-like tyrosine kinase 3, FLT3",,,,
Imatinib Mesylate,Systemic mastocytosis,GLEEVEC- imatinib mesylate tablet,c-Kit,,,,
Imatinib Mesylate,hypereosinophilic syndrome,GLEEVEC- imatinib mesylate tablet,"CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Gastrointestinal stromal tumor,GLEEVEC- imatinib mesylate tablet,CD117,Yes,,,
Imatinib Mesylate,Dermatofibrosarcoma protuberans,GLEEVEC- imatinib mesylate tablet,*,Yes,,,
Imatinib Mesylate,Chronic eosinophilic leukemia,GLEEVEC- imatinib mesylate tablet,"CHIC2, FIP1L1-PDGFRα, HES, FIP1L1-PDGFRα fusion kinase",,,,
Imatinib Mesylate,Acute lymphoblastic leukemia,GLEEVEC- imatinib mesylate tablet,Philadelphia,,,,
Trastuzumab and Hyaluronidase-oysk,Breast cancer,"HERCEPTIN HYLECTA- trastuzumab and hyaluronidase-oysk injection, solution","ER/PR, HER2",Yes,Yes,,
Trastuzumab,Breast cancer,"HERCEPTIN- trastuzumab injection, powder, lyophilized, for solution","ER/PR, HER2",Yes,Yes,,
